"Barriers_Experience","Barriers_Experience_Binary","Barriers_Experience_Count","Barriers_Observe","Barriers_Observe_Binary","Barriers_Observe_Count","Date","Demographic_CareerStage","Demographic_Language","Demographic_PrimaryField","Demographic_Role","Map_Country_ISO3","Map_Country_Standard","Participation_Collaboration","Participation_Consortium","Participation_Formed_Collaboration","Participation_Information_Source","Participation_Interaction","Structural_Country","Structural_Institution"
"Time","No",0,"None_observed","No",0,2022-01-26,"Middle","ESL","LifeSciences","Member","GBR","United Kingdom","Network","Passive","Unable_To_Form","Newsletter","Network","United Kingdom","Academic"
"Time","Yes",1,"None_observed","No",0,2022-01-26,"Late","EFL","Creative","Leader","USA","United States","New_Unknown","Active","Messaged","Newsletter","New_Unknown","USA","Freelance"
"Language","Yes",1,"None_observed","No",0,2022-01-26,"Late","ESL","SocialSciences","Member","JPN","Japan","New_Unknown","Passive","Project","Other","New_Unknown","Japan","Enterprise"
"None","No",0,"None_observed","No",0,2022-01-26,"Middle","ESL","LifeSciences","Member","JPN","Japan","Network","Passive","Project","Slack","Network","Japan","Academic"
"Not_listed","Yes",2,"None_observed","No",0,2022-01-26,"Middle","ESL","LifeSciences","Member","USA","United States","Network","Passive","Project","Slack","Network","U.S.","Academic"
"None","No",0,"None_observed","No",0,2022-01-27,"Early","Other","Creative","Leader","ITA","Italy","New_Unknown","Passive","Unable_To_Form","Newsletter","Network","Italy","Freelance"
"None","No",0,"None_observed","No",0,2022-01-27,"Late","ESL","LifeSciences","Member","ESP","Spain","New_Known","Passive","Unable_To_Form","Other","Network","Spain","Academic"
"Time, Not_listed","Yes",3,"None_observed","No",0,2022-01-27,"Late","ESL","LifeSciences","Member","RUS","Russia","Network","Passive","Messaged","Other","Network","Russia","Academic"
"Time","Yes",1,"None_observed","No",0,2022-01-27,"Early","ESL","SocialSciences","Leader","ITA","Italy","New_Unknown","Active","Consortium_Paper","Slack","New_Unknown","Italy","Academic"
"Time","Yes",1,"None_observed","No",0,2022-01-27,"Late","EFL","SocialSciences","Member","USA","United States","Network","Passive","Unable_To_Form","Other","Network","USA","Academic"
"None","No",0,"None_observed","No",0,2022-01-27,"Late","EFL","SocialSciences","Member","AUS","Australia","Network","Passive","Unable_To_Form","Newsletter","Network","Australia","Enterprise"
"None","No",0,"Time_Zone","Yes",1,2022-01-28,"Middle","Other","Clinical","Member","NGA","Nigeria","New_Unknown","Active","Messaged","Slack","New_Unknown","Nigeria","Medical"
"None","No",0,"None_observed","No",0,2022-01-29,"Late","Other","LifeSciences","Leader","USA","United States","New_Unknown","Active","Consortium_Paper","Slack","New_Known","USA","ResearchOnly"
"Time","No",0,"None_observed","No",0,2022-01-29,"Middle","ESL","Clinical","Leader","OMN","Oman","Network","Both","Consortium_Paper","Other","New_Unknown","Oman","Academic"
"None","No",0,"None_observed","No",0,2022-01-30,"Late","EFL","Clinical","Member","GBR","United Kingdom","Network","Both","Messaged","Slack","New_Unknown","UK","Academic"
"None","No",0,"None_observed","No",0,2022-02-02,"Middle","ESL","LifeSciences","Leader","TUR","Turkey","New_Known","Passive","Project","Newsletter","New_Known","Turkey","Academic"
"Language","Yes",1,"Time","Yes",1,2022-02-04,"Late","ESL","LifeSciences","Leader","FRA","France","Network","Passive","Unable_To_Form","Newsletter","Network","France","Academic"
"Time, Time_Zone","Yes",2,"Time, Time_Zone","Yes",2,2022-02-08,"Middle","ESL","Innovation","Leader","IND","India","New_Known","Passive","Project","Slack","New_Unknown","India","ResearchOnly"
"None","No",0,"None_observed","No",0,2022-02-08,"Early","EFL","SocialSciences","Member","DNK","Denmark","Network","Passive","Project","Slack","New_Unknown","Denmark","Academic"
"None","No",0,"None_observed","No",0,2022-02-08,"Late","EFL","SocialSciences","Member","USA","United States","New_Unknown","Passive","Solicited","Slack","New_Unknown","United States","Freelance"
"None","No",0,"Time_Zone","Yes",1,2022-02-08,"Late","EFL","LifeSciences","Leader","USA","United States","New_Known","Active","Consortium_Paper","Slack","New_Known","USA","Academic"
"None","No",0,"None_observed","No",0,2022-02-08,"Late","ESL","LifeSciences","Member","ITA","Italy","New_Unknown","Active","Project","Slack","New_Unknown","Italy","Academic"
"None","No",0,"None_observed","No",0,2022-02-08,"Middle","EFL","LifeSciences","Member","USA","United States","Network","Active","Project","Slack","New_Known","United States","Academic"
"Language, Race, Time_Zone","Yes",3,"Language, Race, Time_Zone","Yes",3,2022-02-08,"Middle","ESL","Clinical","Member","CHN","China","New_Unknown","Both","Project","Slack","New_Known","China","Medical"
"Time","Yes",1,"Time","Yes",1,2022-02-09,"Middle","ESL","LifeSciences","Member","FIN","Finland","Network","Passive","Messaged","Newsletter","Network","Finland","Academic"
"None","No",0,"Language, Age, Time, Time_Zone","Yes",4,2022-02-11,"Late","ESL","SocialSciences","Leader","TUR","Turkey","New_Unknown","Active","Project","Slack","Network","Turkey","Academic"
"None","No",0,"None_observed","No",0,2022-02-11,"Early","ESL","Innovation","Leader","TUR","Turkey","New_Unknown","Both","Project","Slack","Network","Türkiye","Academic"
"None","No",0,"None_observed","No",0,2022-02-11,"Early","ESL","LifeSciences","Leader","TUR","Turkey","New_Unknown","Active","Consortium_Paper","Newsletter","New_Unknown","Turkey","Academic"
"None","No",0,"None_observed","No",0,2022-02-12,"Early","ESL","SocialSciences","Leader","TUR","Turkey","Network","Passive","Project","Slack","Network","Turkey","Academic"
"Time","Yes",1,"Not_listed","Yes",2,2022-02-13,"Late","ESL","LifeSciences","Member","TUR","Turkey","Network","Active","Messaged","Other","Network","Turkey","Academic"
"Language","Yes",1,"None_observed","No",0,2022-02-14,"Early","ESL","Clinical","Member","TUR","Turkey","Network","Passive","Project","Slack","Network","Turkey","Academic"
"Time","Yes",1,"Time","Yes",1,2022-02-14,"Late","ESL","LifeSciences","Leader","CAN","Canada","Network","Active","Project","Slack","Network","Canada","Academic"
"Time","Yes",1,"None_observed","No",0,2022-02-14,"Late","ESL","Innovation","Member","FRA","France","Network","Passive","Unable_To_Form","Other","Network","France","Academic"
"Time","Yes",1,"Time","Yes",1,2022-02-14,"Late","EFL","Patient Advocacy","Member","USA","United States","New_Unknown","Passive","Unable_To_Form","Other","New_Unknown","United States","Patient"
"Time","Yes",1,"Time","Yes",1,2022-02-14,"Middle","EFL","Clinical","Member","CAN","Canada","Network","Both","Unable_To_Form","Newsletter","New_Unknown","Canada","Academic"
"Time, Not_listed","Yes",3,"Time","Yes",1,2022-02-14,"Late","ESL","LifeSciences","Member","FRA","France","Network","Passive","Solicited","Slack","New_Unknown","France","Academic"
"None","No",0,"None_observed","No",0,2022-02-14,"Late","ESL","LifeSciences","Member","USA","United States","Network","Both","Consortium_Paper","Slack","Network","USA","ResearchOnly"
"Time","Yes",1,"None_observed","No",0,2022-02-14,"Late","EFL","SocialSciences","Member","USA","United States","New_Known","Passive","Unable_To_Form","Newsletter","Network","United States","Academic"
"Time","Yes",1,"Not_listed","Yes",2,2022-02-14,"Middle","ESL","Clinical","Leader","ITA","Italy","New_Known","Passive","Messaged","Other","New_Known","Italy","Medical"
"Time","Yes",1,"None_observed","No",0,2022-02-14,"Late","ESL","LifeSciences","Member","ARG","Argentina","Network","Passive","Unable_To_Form","Newsletter","Network","Argentina","Academic"
"None","No",0,"None_observed","No",0,2022-02-14,"Early","Other","Innovation","Member","USA","United States","New_Unknown","Passive","Messaged","Slack","New_Unknown","USA","Academic"
"Language","Yes",1,"Language","Yes",1,2022-02-15,"Late","ESL","LifeSciences","Member","JPN","Japan","Network","Passive","Messaged","Slack","Network","Japan","Academic"
"Time","Yes",1,"None_observed","No",0,2022-02-15,"Late","ESL","Innovation","Member","GRC","Greece","New_Unknown","Passive","Messaged","Slack","New_Unknown","GREECE","Enterprise"
"None","No",0,"None_observed","No",0,2022-02-15,"Early","ESL","SocialSciences","Member","MWI","Malawi","Network","Passive","Unable_To_Form","Newsletter","Network","Malawi","Funding"
"Time","Yes",1,"Not_listed","Yes",2,2022-02-15,"Early","ESL","LifeSciences","Member","DEU","Germany","New_Unknown","Passive","Project","Slack","New_Unknown","Germany","Academic"
"Time_Zone","Yes",1,"None_observed","No",0,2022-02-15,"Late","ESL","LifeSciences","Member","FRA","France","Network","Passive","Messaged","Slack","Network","FRance","Academic"
"Time, Time_Zone","Yes",2,"None_observed","No",0,2022-02-15,"Late","ESL","Creative","Leader","DEU","Germany","New_Known","Active","Messaged","Slack","New_Unknown","Germany","Freelance"
"Time","Yes",1,"Language, Time_Zone","Yes",2,2022-02-15,"Late","ESL","LifeSciences","Member","FRA","France","Network","Passive","Project","Slack","Network","France","Academic"
"Time","Yes",1,"None_observed","No",0,2022-02-15,"Late","EFL","SocialSciences","Member","USA","United States","Network","Passive","Unable_To_Form","Other","Network","USA","Academic"
"None","No",0,"None_observed","No",0,2022-02-15,"Late","ESL","Clinical","Leader","ITA","Italy","New_Known","Active","Consortium_Paper","Slack","New_Known","ITALY","Academic"
"None","No",0,"None_observed","No",0,2022-02-15,"Late","ESL","SocialSciences","Member","SWE","Sweden","Network","Active","Consortium_Paper","Newsletter","Network","Sweden","Academic"
"None","No",0,"Language","Yes",1,2022-02-15,"Late","EFL","LifeSciences","Leader","USA","United States","New_Unknown","Passive","Unable_To_Form","Slack","New_Unknown","United States","Academic"
"Language","Yes",1,"Time","Yes",1,2022-02-15,"Middle","ESL","Clinical","Member","URY","Uruguay","Network","Passive","Messaged","Slack","Network","Uruguay","Academic"
"Time","Yes",1,"None_observed","No",0,2022-02-15,"Early","EFL","Clinical","Leader","IRL","Ireland","Network","Passive","Project","Other","Network","Ireland ","Medical"
"None","No",0,"Language, Gender, Age, Time_Zone","Yes",4,2022-02-15,"Middle","EFL","LifeSciences","Leader","DEU","Germany","Network","Both","Unable_To_Form","Newsletter","New_Unknown","Germany","Academic"
"Time","No",0,"None_observed","No",0,2022-02-15,"Late","EFL","Creative","Member","NZL","New Zealand","New_Unknown","Passive","Messaged","Slack","Network","New Zealand","Freelance"
"Time","Yes",1,"Not_listed","Yes",2,2022-02-15,"Late","ESL","LifeSciences","Member","ISR","Israel","New_Unknown","Active","Messaged","Slack","New_Unknown","Israel","Academic"
"Not_listed","Yes",2,"Not_listed","Yes",2,2022-02-15,"Early","ESL","Clinical","Member","DNK","Denmark","Network","Passive","Unable_To_Form","Slack","Network","Denmark","Academic"
"Time_Zone","Yes",1,"Language","Yes",1,2022-02-15,"Late","ESL","Clinical","Member","ARG","Argentina","Network","Passive","Consortium_Paper","Newsletter","Network","República Argentina ","Academic"
"None","No",0,"Time_Zone","Yes",1,2022-02-15,"Late","EFL","LifeSciences","Member","GBR","United Kingdom","Network","Active","Project","Slack","New_Unknown","UK","Academic"
"None","No",0,"None_observed","No",0,2022-02-15,"Middle","ESL","LifeSciences","Member","AUT","Austria","Network","Passive","Project","Slack","New_Unknown","Austria","Academic"
"Not_listed","Yes",2,"None_observed","No",0,2022-02-16,"Early","Other","Clinical","Member","LBY","Libya","New_Unknown","Active","Project","Slack","New_Known","Libya","Academic"
"None","No",0,"None_observed","No",0,2022-02-16,"Early","ESL","Clinical","Member","ITA","Italy","Network","Passive","Project","Slack","New_Unknown","Italy ","Medical"
"None","No",0,"None_observed","No",0,2022-02-16,"Early","ESL","Innovation","Member","TUR","Turkey","Network","Passive","Project","Slack","Network","Turkey","Academic"
"Time","Yes",1,"None_observed","No",0,2022-02-16,"Late","ESL","Innovation","Leader","TUR","Turkey","New_Unknown","Active","Project","Slack","Network","Turkey","Academic"
"None","No",0,"Not_listed","Yes",2,2022-02-16,"Late","EFL","SocialSciences","Member","GBR","United Kingdom","Network","Active","Consortium_Paper","Other","Network","UK","Academic"
"Time, Not_listed","Yes",3,"Language, Race, Gender, Age, Disability","Yes",5,2022-02-16,"Late","EFL","SocialSciences","Leader","USA","United States","New_Unknown","Active","Project","Newsletter","New_Unknown","USA","Academic"
"None","No",0,"None_observed","No",0,2022-02-17,"Early","ESL","LifeSciences","Leader","DEU","Germany","New_Known","Active","Messaged","Slack","New_Known","Germany","Academic"
"Disability, Time","Yes",2,"Language, Time_Zone","Yes",2,2022-02-17,"Middle","Other","Innovation","Leader","CAN","Canada","New_Unknown","Active","Unable_To_Form","Other","New_Unknown","Canada","Freelance"
"None","No",0,"None_observed","No",0,2022-02-17,"Early","ESL","SocialSciences","Leader","TUR","Turkey","Network","Active","Project","Slack","Network","Turkey","Academic"
"None","No",0,"None_observed","No",0,2022-02-18,"Late","EFL","SocialSciences","Member","USA","United States","New_Known","Passive","Messaged","Slack","Network","USA","ResearchOnly"
"Time, Time_Zone","Yes",2,"Time_Zone","Yes",1,2022-02-19,"Middle","ESL","LifeSciences","Leader","CHE","Switzerland","New_Unknown","Passive","Unable_To_Form","Slack","Network","Swiss","Academic"
"None","No",0,"None_observed","No",0,2022-02-19,"Late","ESL","Clinical","Member","BRA","Brazil","Network","Both","Messaged","Slack","New_Unknown","Brazil","Academic"
"Time_Zone","Yes",1,"Time","Yes",1,2022-02-20,"Late","ESL","Clinical","Leader","ITA","Italy","New_Unknown","Active","Project","Slack","Network","Italy","Academic"
"None","No",0,"None_observed","No",0,2022-02-22,"Middle","EFL","Creative","Member","USA","United States","New_Unknown","Passive","Messaged","Newsletter","Network","US","Freelance"
"Language, Not_listed","Yes",3,"Language, Time, Not_listed","Yes",4,2022-02-22,"Middle","ESL","Clinical","Leader","COD","Congo - Kinshasa","New_Unknown","Active","Unable_To_Form","Slack","New_Unknown","Congo, Democratic Republic of the","Academic"
"None","No",0,"None_observed","No",0,2022-02-22,"Late","EFL","Clinical","Member","USA","United States","Network","Passive","Unable_To_Form","Newsletter","Network","USA","Academic"
"Time","No",0,"None_observed","No",0,2022-02-22,"Middle","ESL","LifeSciences","Member","FRA","France","Network","Passive","Unable_To_Form","Newsletter","New_Unknown","france","Academic"
"Language","Yes",1,"Time","Yes",1,2022-02-27,"Middle","ESL","Clinical","Leader","COD","Congo - Kinshasa","New_Unknown","Passive","Consortium_Paper","Slack","New_Unknown","Congo, Democratic Republic of the","Academic"
